Wavelength (nm),Absorbance (AU),Std.Dev.
343,3.79402256,0.280978602
344,3.889764309,0.542139092
345,3.626756191,0.268062404
346,3.517162323,0.360942573
347,3.934561253,0.720679306
348,3.999999523,0.534528601
349,3.72810173,0.26206833
350,3.662051201,0.462902986
351,3.998916626,0.943599947
352,3.661464691,0.127903593
353,3.521630764,0.168133322
354,3.406824589,0.206283659
355,3.433441162,0.381044626
356,3.8409729,0.797009027
357,3.999999523,0.70394917
358,3.984037876,0.957867938
359,3.999999523,0.885883762
360,3.706920624,0.424534082
361,3.554825306,0.320217211
362,3.908635139,0.255082911
363,3.867872238,0.396441077
364,3.695510864,0.525895001
365,3.855625629,0.687699722
366,3.656340599,0.529408573
367,3.892730236,0.831636864
368,3.761609554,0.563096472
369,3.943655968,0.740252412
370,3.999999523,0.612247836
371,3.983920574,0.487475898
372,3.983399868,0.432104354
373,3.981090546,0.619137544
374,3.993165016,0.685031969
375,3.948479652,0.578388876
376,3.739789963,0.939645981
377,3.918488979,0.529912724
378,3.596193314,0.656226748
379,3.999999523,0.681133967
380,3.999999523,0.477977216
381,3.433516979,0.183848103
382,2.449822903,0.027433521
383,2.665531158,0.026181734
384,2.650092125,0.028762004
385,2.602487564,0.024337037
386,2.591908455,0.02230382
387,2.634807587,0.038397663
388,2.707943916,0.022845093
389,2.662356853,0.016597523
390,2.634249687,0.018390127
391,2.67384243,0.028316103
392,2.76143837,0.042967363
393,2.746620178,0.039157751
394,2.783421516,0.031205623
395,2.691258907,0.029641226
396,2.727640152,0.033050185
397,2.722463608,0.025303029
398,2.763792515,0.030291644
399,2.70780611,0.034423828
400,2.736745358,0.022636721
401,2.78230238,0.022890706
402,2.783848286,0.023134176
403,2.804615498,0.041075164
404,2.81485939,0.042442568
405,2.761850834,0.029447044
406,2.833393574,0.028893298
407,2.760499477,0.041478767
408,2.711243629,0.035978244
409,2.762462139,0.039380874
410,2.832721233,0.047967265
411,2.722163677,0.019288268
412,2.760773659,0.026957371
413,2.809648514,0.01889292
414,2.834281921,0.026270938
415,2.863226891,0.020342204
416,2.810088634,0.024415893
417,2.773744106,0.037127039
418,2.849524021,0.038423267
419,2.939347267,0.045847763
420,2.890107155,0.051139157
421,2.908835411,0.036163317
422,2.992203712,0.047394732
423,2.890863419,0.037764538
424,2.875181675,0.025542174
425,2.894898415,0.029308571
426,2.88454628,0.030124915
427,2.939819813,0.024419555
